study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;flower_morph;flower_type;inflorescence;larce_group;pollinator;players;Type_of_metric;original_metric;n_larcenist;mean_larcenist;v_larcenist;n_control;mean_control;v_control;Variation_metric;sd_larcenist;sd_control;yi;vi
Burkleetal_2007;267;Robbers;Experimental;Obligatory;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;fruit_set_per_plant;11;68.2;10.2;10;74.1;11.8;SE;3.075415715;3.731487639;-0.082970967;0.000438449
Burkleetal_2007;24;Robbers;Experimental;Obligatory;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;seed_set_per_plant;27;51.9;4.4;24;63.28;4.3;SD;4.4;4.3;-0.198250533;0.000458594
Lara&Ornelas_2001;113;Robbers;Experimental;Experimental;Ipomea_hederifolia;Ipomea_hederifolia;Ipomea;Convolvulaceae;self_incompatible;zygomorphic;tube;yes;birds;birds;bird-bird;female;seed_per_fruit;30;0.52;0.06;30;0.59;0.02;SD;0.06;0.02;-0.126293725;0.00048209
Carrio&Guemes2019;33;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;relative_reproductive_success;20;76.7;5.6;20;71.7;5;SD;5.6;5;0.067410961;0.000509684
Heillingetal_2018;103;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;number_of_pollen_in_the_stigmas;5;28.16;1.01;5;24.83;0.96;SD;1.01;0.96;0.125849932;0.000556245
Irwin&Brody1999;241;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;fruit_set_per_plant;7;34.33;5.58;9;61.54;3.22;SE;2.109041759;1.073333333;-0.583667762;0.000572968
Varmaetal2020;198;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_per_fruit;29;3.79;0.28;29;3.82;0.42;SD;0.28;0.42;-0.007884404;0.000605053
Santosetal2020;170;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;300;50.9;21.4;300;59.4;7.8;SD;21.4;7.8;-0.154431303;0.000646688
Brodyetal2008;19;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;20;5.2;0.3;20;4.7;0.5;SD;0.3;0.5;0.101096117;0.000732287
Irwin&Brody1999;240;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;pollen_deposition_on_stigma;3;72.99;4.78;3;66.28;3.56;SE;2.759734287;2.055366958;0.096434253;0.000797074
Burkleetal_2007;23;Robbers;Non-Experimental;Obligatory;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;seeds_per_fruit;30;21;2.4;30;25.8;2.8;SD;2.4;2.8;-0.205852054;0.000827979
Mayeretal_2014;131;Robbers;Experimental;Experimental;Aconitum_napellus;Aconitum_napellus;Aconitum;Ranunculaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;30;78.1;10.4;30;81.1;7.2;SD;10.4;7.2;-0.037692904;0.000853801
Dedej&Delaplane_2005;64;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;103;13.9;0.3;97;13.8;0.3;SE;3.04466747;2.954657341;0.007220248;0.000938404
Brodyetal2008;20;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;percentage_of_fruit_set;20;45.4;3.8;20;40.31;4.4;SD;3.8;4.4;0.118912528;0.000946019
Irwin&Brody2000;106;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;32;121.3;15.4;32;62.8;7.9;SD;15.4;7.9;0.658311742;0.000998219
Brodyetal2008;15;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;20;3.14;0.4;20;4.4;0.3;SD;0.4;0.3;-0.337381741;0.00104383
Lasso&Naranjo_2003;114;Robbers;Experimental;Experimental;Hamelia_patens;Hamelia_patens;Hamelia;Rubiaceae;self_compatible;actinomorphic;tube;yes;birds;birds;bird-bird;female;pollen_tube_per_stile;18;4367.3;387.7;14;5510;510.2;SD;387.7;510.2;-0.232419654;0.001050238
Burkleetal_2007;266;Robbers;Experimental;Obligatory;Linaria_vulgaris;Linaria_vulgaris;Linaria;Scrophulariaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;seed_per_fruit;11;63.62;20.18;10;150.25;22.31;SE;6.084498934;7.05504146;-0.859372687;0.001051995
Irwinetal_2008;252;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_set_per_plant;15;0.6;0.24;15;0.96;0.3;SE;0.061967734;0.077459667;-0.470003629;0.001145139
McDonald&Caruso2019;136;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;pollen_deposition_on_stigma;75;105.11;21.53;75;96.11;20.36;SE;21.53;20.36;0.089514052;0.001157773
Santosetal2020;172;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;300;43.2;18.3;300;43.4;18.3;SD;18.3;18.3;-0.004618946;0.001190809
Irwin&Brody2000;107;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_sired;32;17.7;1.5;32;8.1;1.5;SD;1.5;1.5;0.781700578;0.001296106
Heillingetal_2018;102;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;5;0.73;0.05;5;0.74;0.04;SD;0.05;0.04;-0.013605652;0.00152263
Bergamo&Sazima2018;8;Robbers;Non-Experimental;Obligatory;Besleria_longimucronata;Besleria_longimucronata;Besleria;Gesneriaceae;self_compatible;NA;tube;no;bees;birds;insect-bird;female;number_of_seed_per_fruit;30;261;40.92;30;360.3;53.6;SD;40.92;53.6;-0.32241661;0.001557049
Brodyetal2008;18;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_plant;20;138.5;15.4;20;128.5;17.9;SD;15.4;17.9;0.074941421;0.001588395
Carrio&Guemes2019;28;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;20;72.8;8.3;20;77.8;11.1;SD;8.3;11.1;-0.066425476;0.001667712
Brodyetal2008;12;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;20;4.1;0.4;20;7.5;1.2;SD;0.4;1.2;-0.603916047;0.001755907
Carrio&Guemes2019;29;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;relative_reproductive_success;20;62.8;7.8;20;63.3;8.9;SD;7.8;8.9;-0.007930256;0.001759752
Burkleetal_2007;21;Robbers;Experimental;Obligatory;Delphinium_nuttallianum;Delphinium_nuttallianum;Delphinium;Ranunculaceae;self_compatible;zygomorphic;non-tube;yes;bees;birds;insect-bird;female;number_of_seeds;27;49.8;10.1;24;97.9;10.4;SD;10.1;10.4;-0.675931566;0.00199363
Dedej&Delaplane_2005;62;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;mean_fruit_weight;65;1.2;0.04;65;1.6;0.05;SE;0.32249031;0.403112887;-0.287682072;0.002087674
Brodyetal2008;13;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_plant;20;89.7;15.4;20;144.9;19.2;SD;15.4;19.2;-0.47957308;0.00235164
Varmaetal2020;197;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;nectar_composition;30;0.49;0.097;30;0.51;0.097;SD;0.097;0.097;-0.040005335;0.00251208
Bergamo&Sazima2018;9;Robbers;Non-Experimental;Obligatory;Crotalaria_vitellina;Crotalaria_vitellina;Crotalaria;Fabaceae;self_compatible;zygomorphic;non-tube;yes;bees;bees;insect-insect;female;number_of_seed_per_fruit;30;10.83;1.98;30;10.23;2.37;SD;1.98;2.37;0.056995481;0.002903229
Brodyetal2008;10;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_plant;20;92.3;16.7;20;291.1;47.4;SD;16.7;47.4;-1.148622709;0.002962506
Travesetetal1998;186;Robbers;Non-Experimental;Facultative;Fuchsia_magellanica;Fuchsia_magellanica;Fuchsia;Onagraceae;self_compatible;zygomorphic;tube;no;birds;birds;bird-bird;female;fruit_set_per_plant;20;80;4.4;20;100;0;SE;19.677;0;-0.223143551;0.003024878
Varma&Sinu2019;194;Robbers;Non-Experimental;NA;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;fruit_set_per_plant;29;0.93;0.25;29;0.89;0.14;SD;0.25;0.14;0.043963123;0.00334507
Zhangetal2009a;231;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;female;female_seed_set;5;76.2;3.3;5;81.7;3.5;SE;7.379;7.826;-0.069692539;0.003710616
Brodyetal2008;17;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;fruit_set_per_plant;11;68.2;10.2;10;74.1;11.8;SD;10.2;11.8;-0.082970967;0.004569349
Irwin&Brody1999;244;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;male;pollen_donation;15;0.01;0.01;15;0.05;0.01;SE;0.002581989;0.002581989;-1.609437912;0.004622223
Zhangetal2007;225;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;male;pollen_deposition_on_stigma;575;64.86;3.04;575;83.33;4.54;SE;72.897;108.865;-0.250577528;0.005165123
Varmaetal2020;196;Robbers;Non-Experimental;Obligatory;Leucas_aspera;Leucas_aspera;Leucas;Lamiaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;29;0.81;0.28;29;0.89;0.16;SD;0.28;0.16;-0.094187215;0.005234936
Richmanetal_2018;161;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;pollen_deposition_on_stigma;139;28.98;1.67;156;39.89;1.91;SE;19.68900962;23.85589235;-0.319519729;0.005613405
Richmanetal_2018;163;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;pollen_deposition_on_stigma;140;36.73;2.12;156;39.89;1.91;SE;25.08417828;23.85589235;-0.082531806;0.005624078
Morris_1996;143;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;mean_seed_mass;50;5.39;0.28;50;5.41;0.3;SE;1.98;2.121;-0.003703708;0.005772967
Zhangetal2007;224;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;male;pollen_deposition_on_stigma;575;58.89;3.79;584;80.35;4.06;SE;90.881;98.114;-0.310720795;0.006695014
Dedej&Delaplane_2005;65;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;mean_fruit_weight;37;1.07;0.06;38;0.8;0.05;SE;0.364965752;0.3082207;0.2908022;0.007050629
Heillingetal_2018;100;Robbers;Experimental;Facultative;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;seed_per_plant;5;6.73;1.04;5;7.56;0.83;SD;1.04;0.83;-0.116296047;0.007186721
Dedej&Delaplane_2005;61;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_per_fruit;64;10.6;0.7;63;17;1;SE;5.6;7.937253933;-0.472359343;0.00782119
Utelli&Roy2001;188;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;mean_seed_weight;14;3.2;0.2;17;3.1;0.2;SE;0.748;0.825;0.031748698;0.008068947
Irwin&Brody1999;242;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;7;4.69;0.61;9;5.87;4.69;SE;0.230558329;1.563333333;-0.224422051;0.008226294
Dedej&Delaplane_2005;59;Robbers;Non-Experimental;Obligatory;Vaccinium_ashei;Vaccinium_ashei;Vaccinium;Ericaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_per_fruit;37;10.3;0.7;38;18.6;1.3;SE;4.257933771;8.013738204;-0.591017685;0.009503678
Zhangetal_2014;221;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;60;52.27;3.76;60;71.48;4.75;SE;29.125;36.793;-0.312995098;0.009590393
Zhangetal2009a;230;Robbers;Non-Experimental;Obligatory;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;female;hermaphroditic_seed_set;5;63.4;4.8;5;70.6;4.4;SE;10.733;9.839;-0.107566283;0.009616223
Richmanetal_2018;158;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;proportion_of_flowers_turning_into_fruits;40;0.35;0.03;40;0.54;0.03;SE;0.18973666;0.18973666;-0.433635985;0.010433359
Santosetal2020;171;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;proportion_of_flowers_turning_into_fruits;300;13.3;18.4;300;15;16.8;SD;18.4;16.8;-0.120286166;0.010561193
Richmanetal_2018;155;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;proportion_of_flowers_turning_into_fruits;40;0.22;0.02;40;0.54;0.03;SE;0.126491106;0.18973666;-0.897941593;0.011350883
Brodyetal2008;11;Robbers;Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;11;63.62;20.18;10;150.25;22.31;SD;20.18;22.31;-0.859372687;0.01135146
Utelli&Roy2001;187;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;mean_seed_weight;23;2.5;0.2;23;2.6;0.2;SE;0.959;0.959;-0.039220713;0.012312889
Higashietal;104;Robbers;Non-Experimental;Facultative;Corydalis_ambigua;Corydalis_ambigua;Corydalis;Papaveraceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;221;24.6;25.5;32;63.7;31.9;SD;25.5;31.9;-0.95143812;0.012699081
Zhangetal_2010a;216;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;fruit_set_per_plant;4;73.59;6.43;4;79.77;6.84;SE;12.86;13.68;-0.080638347;0.014987032
Richmanetal_2018;165;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;40;2.14;0.22;40;2.25;0.17;SE;1.39140217;1.075174404;-0.050124387;0.016277251
Ferreiraetal2020;76;Robbers;Non-Experimental;Obligatory;Cleistocactus_baumanii;Cleistocactus_baumanii;Cleistocactus;Cactaceae;self_compatible;zygomorphic;tube;no;bees;birds;insect-bird;female;pollen_deposition_on_stigma;15;542;236;15;825;215;SD;236;215;-0.420117385;0.017167326
Utelli&Roy2001;189;Robbers;Non-Experimental;Obligatory;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_per_fruit;24;16.08;1.38;24;14.08;1.48;SE;6.761;7.25;0.132820913;0.0184135
Richmanetal_2018;156;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_fruit;40;1.41;0.17;40;2.25;0.17;SE;1.075174404;1.075174404;-0.467340512;0.020245134
